glyph,en_tts,zh_tts,en_keywords,zh_keywords,source
≻,succeeds,后于,mathematics | operator | set | succeeds,后于,CLDR release-46 annotations
⊁,does not succeed,不后于,does | mathematics | not | operator | set | succeed,不后于,CLDR release-46 annotations
⊂,subset of,是...的子集,of | set | subset,子集 | 是...的子集 | 集合,CLDR release-46 annotations
⊃,superset,超集,mathematics | operator | set | superset,超集,CLDR release-46 annotations
⊆,subset equal,子集或等于,equal | subset,子集或等于,CLDR release-46 annotations
⊇,superset equal,超集或等于,equal | equality | mathematics | superset,超集或等于,CLDR release-46 annotations
⊕,circled plus,带圆圈加号,circled | plus,带圆圈加号,CLDR release-46 annotations
⊖,circled minus,带圆圈减号,circled | difference | erosion | minus | symmetric,带圆圈减号,CLDR release-46 annotations
⊗,circled times,带圆圈乘号,circled | product | tensor | times,带圆圈乘号,CLDR release-46 annotations
⊘,circled division slash,带圆圈除号斜线,circled | division | division-like | mathematics | slash,带圆圈除号斜线,CLDR release-46 annotations
⊙,circled dot operator,带圆圈点运算符,circled | dot | operator | XNOR,带圆圈点运算符,CLDR release-46 annotations
⊚,circled ring operator,带圆圈环运算符,circled | operator | ring,带圆圈环运算符,CLDR release-46 annotations
⊛,circled asterisk operator,带圆圈星号运算符,asterisk | circled | operator,带圆圈星号运算符,CLDR release-46 annotations
⊞,squared plus,带方框加号,addition-like | mathematics | plus | squared,带方框加号,CLDR release-46 annotations
⊟,squared minus,带方框减号,mathematics | minus | squared | subtraction-like,带方框减号,CLDR release-46 annotations
⊥,up tack,上丁字,eet | falsum | tack | up,上丁字,CLDR release-46 annotations
⊮,does not force,不强制,does | force | not,不强制,CLDR release-46 annotations
⊰,precedes under relation,关系上先于,mathematics | operator | precedes | relation | set | under,关系上先于,CLDR release-46 annotations
⊱,succeeds under relation,关系上后于,mathematics | operator | relation | set | succeeds | under,关系上后于,CLDR release-46 annotations
⊶,original,原,original,原,CLDR release-46 annotations
⊹,hermitian conjugate matrix,厄米共轭矩阵,conjugate | hermitian | mathematics | matrix | self-adjoint | square,厄米共轭矩阵,CLDR release-46 annotations
⊿,right triangle,直角三角形,mathematics | right | right-angled | triangle,直角三角形,CLDR release-46 annotations
⋁,n-ary logical or,N元逻辑或,disjunction | logic | logical | n-ary | or,N元逻辑或,CLDR release-46 annotations
⋂,n-ary intersection,N元交集,intersection | mathematics | n-ary | operator | set,N元交集,CLDR release-46 annotations
⋃,n-ary union,N元并集,mathematics | n-ary | operator | set | union,N元并集,CLDR release-46 annotations
⋅,dot operator,点运算符,dot | operator,点运算符,CLDR release-46 annotations
⋆,star operator,星运算符,operator | star,星运算符,CLDR release-46 annotations
⋈,natural join,自然连接,binary | bowtie | join | natural | operator,自然连接,CLDR release-46 annotations
⋒,double intersection,双交集,double | intersection | mathematics | operator | set,双交集,CLDR release-46 annotations
⋘,very much less-than,极小于,inequality | less-than | mathematics | much | very,极小于,CLDR release-46 annotations
⋙,very much greater-than,极大于,greater-than | inequality | mathematics | much | very,极大于,CLDR release-46 annotations
⋭,does not contain as normal subgroup equal,不属于正规子群或等于,as | contain | does | equal | group | mathematics | normal | not | subgroup | theory,不属于正规子群或等于,CLDR release-46 annotations
⋮,vertical ellipsis,垂直省略号,ellipsis | mathematics | vertical,垂直省略号,CLDR release-46 annotations
⋯,midline horizontal ellipsis,中线水平省略号,ellipsis | horizontal | midline,中线水平省略号,CLDR release-46 annotations
⋰,up right diagonal ellipsis,右上对角线省略号,diagonal | ellipsis | mathematics | right | up,右上对角线省略号,CLDR release-46 annotations
⋱,down right diagonal ellipsis,右下对角线省略号,diagonal | down | ellipsis | mathematics | right,右下对角线省略号,CLDR release-46 annotations
⌚,watch,手表,clock | time | watch,手表 | 时间 | 表,CLDR release-46 annotations
⌛,hourglass done,沙漏,done | hourglass | sand | time | timer,时间 | 沙漏 | 计时 | 计时器,CLDR release-46 annotations
⌨,keyboard,键盘,computer | keyboard,打字 | 按键 | 电脑 | 输入 | 键盘,CLDR release-46 annotations
⏏,eject button,推出按钮,button | eject,向上三角 | 弹出 | 推出按钮,CLDR release-46 annotations
⏩,fast-forward button,快进按钮,arrow | button | double | fast | fast-forward | forward,双箭头 | 向前 | 快进 | 快进按钮 | 快速,CLDR release-46 annotations
⏪,fast reverse button,快退按钮,arrow | button | double | fast | reverse | rewind,倒回 | 双箭头 | 快退 | 快退按钮 | 快速倒带,CLDR release-46 annotations
⏫,fast up button,快速上升按钮,arrow | button | double | fast | up,上 | 双箭头 | 向上 | 快速上升按钮 | 快速向上,CLDR release-46 annotations
⏬,fast down button,快速下降按钮,arrow | button | double | down | fast,下 | 双箭头 | 向下 | 快速下降按钮 | 快速向下,CLDR release-46 annotations
⏭,next track button,下一个音轨按钮,arrow | button | next | scene | track | triangle,三角 | 下一个 | 下一个音轨按钮 | 下一曲 | 下一首 | 往后 | 箭头,CLDR release-46 annotations
⏮,last track button,上一个音轨按钮,arrow | button | last | previous | scene | track | triangle,三角 | 上一个 | 上一个音轨按钮 | 上一曲 | 上一首 | 箭头,CLDR release-46 annotations
⏯,play or pause button,播放或暂停按钮,arrow | button | pause | play | right | triangle,三角 | 向右 | 播放 | 播放或暂停 | 播放或暂停按钮 | 暂停,CLDR release-46 annotations
⏰,alarm clock,闹钟,alarm | clock | hours | hrs | late | time | waiting,小时 | 时间 | 钟 | 闹钟,CLDR release-46 annotations
⏱,stopwatch,秒表,clock | stopwatch | time,码表 | 秒表 | 计时 | 计时器,CLDR release-46 annotations
⏲,timer clock,定时器,clock | timer,定时器 | 时间 | 计时 | 计时器,CLDR release-46 annotations
⏳,hourglass not done,沙正往下流的沙漏,done | flowing | hourglass | hours | not | sand | timer | waiting | yolo,沙 | 沙正往下流的沙漏 | 沙漏 | 等待 | 计时器,CLDR release-46 annotations
⏸,pause button,暂停按钮,bar | button | double | pause | vertical,停止 | 双条形 | 暂停 | 暂停按钮,CLDR release-46 annotations
⏹,stop button,停止按钮,button | square | stop,停止 | 停止按钮 | 方形 | 正方形 | 终止,CLDR release-46 annotations
⏺,record button,录制按钮,button | circle | record,制作 | 圆 | 录像 | 录制 | 录制按钮 | 录音,CLDR release-46 annotations
Ⓜ,circled M,圆圈包围的M,circle | circled | M,m | 圆圈包围的M | 圈 | 字母 | 米,CLDR release-46 annotations
■,filled square,实心方形,filled | square,实心方形,CLDR release-46 annotations
□,hollow square,空心方形,hollow | square,空心方形,CLDR release-46 annotations
▢,hollow square with rounded corners,带圆角的空心方形,corners | hollow | rounded | square | with,带圆角的空心方形,CLDR release-46 annotations
▣,hollow square containing filled square,包含实心方形的空心方形,containing | filled | hollow | square,包含实心方形的空心方形,CLDR release-46 annotations
▤,square with horizontal fill,带水平填充符的方形,fill | horizontal | square | with,带水平填充符的方形,CLDR release-46 annotations
▥,square with vertical fill,带垂直填充符的方形,fill | square | vertical | with,带垂直填充符的方形,CLDR release-46 annotations
▦,square orthogonal crosshatch fill,带直角交叉填充符的方形,crosshatch | fill | orthogonal | square,带直角交叉填充符的方形,CLDR release-46 annotations
▧,square upper left lower right fill,带左上到右下填充符的方形,fill | left | lower | right | square | upper,带左上到右下填充符的方形,CLDR release-46 annotations
▨,square upper right lower left fill,带右上到左下填充符的方形,fill | left | lower | right | square | upper,带右上到左下填充符的方形,CLDR release-46 annotations
▩,square diagonal crosshatch fill,带对角线交叉填充符的方形,crosshatch | diagonal | fill | square,带对角线交叉填充符的方形,CLDR release-46 annotations
▪,black small square,黑色小方块,black | geometric | small | square,几何 | 几何图形 | 小 | 方形 | 正方形 | 黑色 | 黑色小方块,CLDR release-46 annotations
▫,white small square,白色小方块,geometric | small | square | white,小 | 方形 | 正方形 | 白色 | 白色小方块,CLDR release-46 annotations
▬,filled rectangle,实心矩形,filled | rectangle,实心矩形,CLDR release-46 annotations
▭,hollow rectangle,空心矩形,hollow | rectangle,空心矩形,CLDR release-46 annotations
▮,filled vertical rectangle,实心垂直矩形,filled | rectangle | vertical,实心垂直矩形,CLDR release-46 annotations
▰,filled parallelogram,实心平行四边形,filled | parallelogram,实心平行四边形,CLDR release-46 annotations
▲,filled up-pointing triangle,实心向上三角,arrow | filled | triangle | up | up-pointing,三角 | 上 | 填充 | 实心 | 实心向上三角 | 实心向上箭头 | 箭头,CLDR release-46 annotations
△,hollow up-pointing triangle,空心向上三角,hollow | triangle | up-pointing,空心向上三角,CLDR release-46 annotations
▴,filled up-pointing small triangle,实心向上小型三角,filled | small | triangle | up-pointing,实心向上小型三角,CLDR release-46 annotations
▵,hollow up-pointing small triangle,空心向上小型三角,hollow | small | triangle | up-pointing,空心向上小型三角,CLDR release-46 annotations
▶,play button,播放按钮,arrow | button | play | right | triangle,三角 | 右 | 向右 | 播放 | 播放按钮 | 箭头,CLDR release-46 annotations
▷,hollow right-pointing triangle,空心向右三角,hollow | right-pointing | triangle,空心向右三角,CLDR release-46 annotations
▸,filled right-pointing small triangle,实心向右小型三角,filled | right-pointing | small | triangle,实心向右小型三角,CLDR release-46 annotations
▹,hollow right-pointing small triangle,空心向右小型三角,hollow | right-pointing | small | triangle,空心向右小型三角,CLDR release-46 annotations
►,filled right-pointing pointer,实心向右指针,filled | pointer | right-pointing,实心向右指针,CLDR release-46 annotations
▻,hollow right-pointing pointer,空心向右指针,hollow | pointer | right-pointing,空心向右指针,CLDR release-46 annotations
▼,filled down-pointing triangle,实心向下三角,arrow | down | down-pointing | filled | triangle,三角 | 下 | 填充 | 实心 | 实心向下三角 | 实心向下箭头 | 箭头,CLDR release-46 annotations
▽,hollow down-pointing triangle,空心向下三角,down-pointing | hollow | triangle,空心向下三角,CLDR release-46 annotations
▾,filled down-pointing small triangle,实心向下小型三角,down-pointing | filled | small | triangle,实心向下小型三角,CLDR release-46 annotations
▿,hollow down-pointing small triangle,空心向下小型三角,down-pointing | hollow | small | triangle,空心向下小型三角,CLDR release-46 annotations
◀,reverse button,倒退按钮,arrow | button | left | reverse | triangle,三角 | 倒转 | 倒退按钮 | 后退 | 向左 | 左,CLDR release-46 annotations
◁,hollow left-pointing triangle,空心向左三角,hollow | left-pointing | triangle,空心向左三角,CLDR release-46 annotations
◂,filled left-pointing small triangle,实心向左小型三角,filled | left-pointing | small | triangle,实心向左小型三角,CLDR release-46 annotations
◃,hollow left-pointing small triangle,空心向左小型三角,hollow | left-pointing | small | triangle,空心向左小型三角,CLDR release-46 annotations
◄,filled left-pointing pointer,实心向左指针,filled | left-pointing | pointer,实心向左指针,CLDR release-46 annotations
◅,hollow left-pointing pointer,空心向左指针,hollow | left-pointing | pointer,空心向左指针,CLDR release-46 annotations
◆,filled diamond,实心菱形,diamond | filled,实心菱形,CLDR release-46 annotations
◇,hollow diamond,空心菱形,diamond | hollow,空心菱形,CLDR release-46 annotations
◈,hollow diamond containing filled diamond,包含实心菱形的空心菱形,containing | diamond | filled | hollow,包含实心菱形的空心菱形,CLDR release-46 annotations
◉,hollow circle containing filled circle,包含实心圆圈的空心圆圈,cicles | circle | circled | concentric | containing | dot | filled | fisheye | hollow | ward,包含实心圆圈的空心圆圈,CLDR release-46 annotations
◊,lozenge,菱形,diamond | lozenge | rhombus,扑克 | 方块 | 菱形 | 钻石,CLDR release-46 annotations
○,hollow circle,空心圆,circle | hollow | ring,圆 | 环形 | 空心圆,CLDR release-46 annotations
◌,dotted circle,虚线圆圈,circle | dotted,虚线圆圈,CLDR release-46 annotations
◍,circle with vertical fill,带垂直填充符的圆圈,circle | fill | vertical | with,带垂直填充符的圆圈,CLDR release-46 annotations
